Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_41,VGND,li1,27.1400,788.8000,0.000000
FILLER_285_29,VGND,li1,21.6200,788.8000,0.000000
FILLER_285_27,VGND,li1,18.1700,788.8000,0.000000
FILLER_285_15,VGND,li1,15.1800,788.8000,0.000000
FILLER_285_3,VGND,li1,9.6600,788.8000,0.000000
FILLER_284_2573,VGND,li1,1190.9400,783.3600,0.000000
FILLER_284_2561,VGND,li1,1186.3400,783.3600,0.000000
FILLER_284_2549,VGND,li1,1180.8200,783.3600,0.000000
FILLER_284_2547,VGND,li1,1177.3700,783.3600,0.000000
FILLER_284_2541,VGND,li1,1175.7600,783.3600,0.000000
FILLER_284_2529,VGND,li1,1171.6200,783.3600,0.000000
FILLER_284_2517,VGND,li1,1166.1000,783.3600,0.000000
FILLER_284_2505,VGND,li1,1160.5800,783.3600,0.000000
FILLER_284_2493,VGND,li1,1155.0600,783.3600,0.000000
FILLER_284_2491,VGND,li1,1151.6100,783.3600,0.000000
FILLER_284_2485,VGND,li1,1150.0000,783.3600,0.000000
FILLER_284_2473,VGND,li1,1145.8600,783.3600,0.000000
FILLER_284_2461,VGND,li1,1140.3400,783.3600,0.000000
FILLER_284_2449,VGND,li1,1134.8200,783.3600,0.000000
FILLER_284_2437,VGND,li1,1129.3000,783.3600,0.000000
FILLER_284_2435,VGND,li1,1125.8500,783.3600,0.000000
FILLER_284_2429,VGND,li1,1124.2400,783.3600,0.000000
FILLER_284_2417,VGND,li1,1120.1000,783.3600,0.000000
FILLER_284_2405,VGND,li1,1114.5800,783.3600,0.000000
FILLER_284_2393,VGND,li1,1109.0600,783.3600,0.000000
FILLER_284_2381,VGND,li1,1103.5400,783.3600,0.000000
FILLER_284_2379,VGND,li1,1100.0900,783.3600,0.000000
FILLER_284_2373,VGND,li1,1098.4800,783.3600,0.000000
FILLER_284_2361,VGND,li1,1094.3400,783.3600,0.000000
FILLER_284_2349,VGND,li1,1088.8200,783.3600,0.000000
FILLER_284_2337,VGND,li1,1083.3000,783.3600,0.000000
FILLER_284_2325,VGND,li1,1077.7800,783.3600,0.000000
FILLER_284_2323,VGND,li1,1074.3300,783.3600,0.000000
FILLER_284_2317,VGND,li1,1072.7200,783.3600,0.000000
FILLER_284_2305,VGND,li1,1068.5800,783.3600,0.000000
FILLER_284_2293,VGND,li1,1063.0600,783.3600,0.000000
FILLER_284_2281,VGND,li1,1057.5400,783.3600,0.000000
FILLER_284_2269,VGND,li1,1052.0200,783.3600,0.000000
FILLER_284_2267,VGND,li1,1048.5700,783.3600,0.000000
FILLER_284_2261,VGND,li1,1046.9600,783.3600,0.000000
FILLER_284_2249,VGND,li1,1042.8200,783.3600,0.000000
FILLER_284_2237,VGND,li1,1037.3000,783.3600,0.000000
FILLER_284_2225,VGND,li1,1031.7800,783.3600,0.000000
FILLER_284_2213,VGND,li1,1026.2600,783.3600,0.000000
FILLER_284_2211,VGND,li1,1022.8100,783.3600,0.000000
FILLER_284_2205,VGND,li1,1021.2000,783.3600,0.000000
FILLER_284_2193,VGND,li1,1017.0600,783.3600,0.000000
FILLER_284_2181,VGND,li1,1011.5400,783.3600,0.000000
FILLER_284_2169,VGND,li1,1006.0200,783.3600,0.000000
FILLER_284_2157,VGND,li1,1000.5000,783.3600,0.000000
FILLER_284_2155,VGND,li1,997.0500,783.3600,0.000000
